measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,South East England,Male,1 to 4,Years,2006,78.30688813,78.50849236,78.09761299
Life expectancy,South East England,Female,1 to 4,Years,2006,81.9754066,82.17710569,81.76941513
Life expectancy,South East England,Both,1 to 4,Years,2006,80.21424048,80.3647545,80.06697924
Life expectancy,South East England,Male,5 to 9,Years,2006,74.37175951,74.5726884,74.16317109
Life expectancy,South East England,Female,5 to 9,Years,2006,78.0289366,78.22865573,77.82696811
Life expectancy,South East England,Both,5 to 9,Years,2006,76.27384203,76.42201358,76.126865
Life expectancy,South East England,Male,10 to 14,Years,2006,69.41108253,69.6118553,69.20262318
Life expectancy,South East England,Female,10 to 14,Years,2006,73.05316694,73.25239806,72.85114386
Life expectancy,South East England,Both,10 to 14,Years,2006,71.30608868,71.45442319,71.1586142
Life expectancy,South East England,Male,15 to 19,Years,2006,64.454912,64.6551351,64.24700509
Life expectancy,South East England,Female,15 to 19,Years,2006,68.08596113,68.28468294,67.88444505
Life expectancy,South East England,Both,15 to 19,Years,2006,66.34480691,66.49273015,66.19741801
Life expectancy,South East England,Male,20 to 24,Years,2006,59.57801262,59.77610196,59.37235662
Life expectancy,South East England,Female,20 to 24,Years,2006,63.15979464,63.35701262,62.95868281
Life expectancy,South East England,Both,20 to 24,Years,2006,61.44498134,61.59201518,61.29849555
Life expectancy,South East England,Male,25 to 29,Years,2006,54.73900798,54.93455525,54.53594014
Life expectancy,South East England,Female,25 to 29,Years,2006,58.2417293,58.43698562,58.04248903
Life expectancy,South East England,Both,25 to 29,Years,2006,56.56849212,56.71403138,56.42371135
Life expectancy,South East England,Male,30 to 34,Years,2006,49.9320509,50.12533602,49.73125777
Life expectancy,South East England,Female,30 to 34,Years,2006,53.32769767,53.520608,53.13065817
Life expectancy,South East England,Both,30 to 34,Years,2006,51.70950695,51.85351077,51.56637736
Life expectancy,South East England,Male,35 to 39,Years,2006,45.1316559,45.32260128,44.93327596
Life expectancy,South East England,Female,35 to 39,Years,2006,48.42009627,48.61059014,48.2253546
Life expectancy,South East England,Both,35 to 39,Years,2006,46.85654687,46.99892618,46.71516791
Life expectancy,South East England,Male,40 to 44,Years,2006,40.34324367,40.53110334,40.14804971
Life expectancy,South East England,Female,40 to 44,Years,2006,43.56653964,43.7533845,43.37524716
Life expectancy,South East England,Both,40 to 44,Years,2006,42.03659177,42.1764833,41.89762806
Life expectancy,South East England,Male,45 to 49,Years,2006,35.61546988,35.79869726,35.42513306
Life expectancy,South East England,Female,45 to 49,Years,2006,38.77243398,38.95441938,38.58581212
Life expectancy,South East England,Both,45 to 49,Years,2006,37.27771461,37.41426805,37.14218763
Life expectancy,South East England,Male,50 to 54,Years,2006,30.98032194,31.15635158,30.79730673
Life expectancy,South East England,Female,50 to 54,Years,2006,34.0518958,34.22743382,33.87170607
Life expectancy,South East England,Both,50 to 54,Years,2006,32.60320754,32.73511576,32.47283926
Life expectancy,South East England,Male,55 to 59,Years,2006,26.5163012,26.68187129,26.34406419
Life expectancy,South East England,Female,55 to 59,Years,2006,29.47145682,29.63787901,29.30087455
Life expectancy,South East England,Both,55 to 59,Years,2006,28.08602985,28.21085271,27.96312386
Life expectancy,South East England,Male,60 to 64,Years,2006,22.22527959,22.37762309,22.06700815
Life expectancy,South East England,Female,60 to 64,Years,2006,25.00635811,25.1615363,24.84743012
Life expectancy,South East England,Both,60 to 64,Years,2006,23.7156416,23.8306006,23.60214939
Life expectancy,South East England,Male,65 to 69,Years,2006,18.1848579,18.3216465,18.04306957
Life expectancy,South East England,Female,65 to 69,Years,2006,20.71167075,20.85386631,20.56592331
Life expectancy,South East England,Both,65 to 69,Years,2006,19.56045169,19.66514245,19.45828333
Life expectancy,South East England,Male,70 to 74,Years,2006,14.42404146,14.54265877,14.30113108
Life expectancy,South East England,Female,70 to 74,Years,2006,16.64082081,16.76893291,16.50939723
Life expectancy,South East England,Both,70 to 74,Years,2006,15.66037052,15.75239077,15.56965701
Life expectancy,South East England,Male,75 to 79,Years,2006,11.04982837,11.14893228,10.94854579
Life expectancy,South East England,Female,75 to 79,Years,2006,12.86283398,12.97464809,12.74799883
Life expectancy,South East England,Both,75 to 79,Years,2006,12.10234971,12.1794049,12.02429274
