measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,294,All causes,3,Rate,2009,8985.57232,9114.077562,8847.643386
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2009,0.286490367,0.356707194,0.103211852
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2009,2073.07208,2154.395871,1939.381325
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,2009,471.1449588,496.8913759,427.9074244
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,2009,22.99776416,34.39509823,12.86468954
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,2009,236.7143851,244.4536333,229.9594211
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2009,217.0651138,225.7519833,209.0523134
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,128.6005907,133.342448,120.54664
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2009,1.986599211,2.075117828,1.873305633
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,2009,507.8474881,524.2094336,486.3233121
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2009,207.6278377,214.1936439,199.054608
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,717,Self-harm and interpersonal violence,3,Rate,2009,354.9887121,364.8749672,345.9035683
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,2009,41.2907314,57.85455273,29.97146643
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,2009,454.8206198,540.1864549,422.5604449
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,33.84200911,51.09001359,23.81011741
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,2009,357.3975327,375.0366949,327.5886369
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,2009,18.06685247,19.33705168,16.27391092
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,2009,49.32220177,54.38678137,42.6374489
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,2009,370.4895219,404.3080059,318.5076284
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,294,All causes,3,Rate,2009,10047.38124,10089.62958,10004.60754
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2009,2365.01855,2435.065473,2228.791306
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,2009,44.70069271,59.98861581,31.59419584
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,2009,523.6583486,614.549069,496.1024648
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,38.02796227,56.65287839,27.18926533
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,2009,392.5298952,407.5797607,365.9448888
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,2009,22.34898204,23.54854448,20.46655804
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,2009,56.39327128,60.65989557,48.42579035
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,2009,459.8862423,492.2675273,405.2561219
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2009,260.7211571,266.5331792,255.6515247
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,152.1594655,156.7988844,143.6330738
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2009,0.451565184,0.559242264,0.130891346
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,30.04135966,46.35217768,20.20753508
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,2009,336.5347292,363.4989108,303.6749186
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,2009,17.39822478,19.75276268,15.13758608
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,2009,50.15595887,55.16252992,42.57224101
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,2009,357.6059609,402.4737621,301.9019506
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,2009,564.9765002,587.1927325,492.6806753
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,2009,24.97673577,35.43615925,13.80854791
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,2009,249.2674449,255.2401236,244.9161328
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2009,244.4618733,250.3586849,235.8530823
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,2009,2972.550501,3055.884186,2841.926209
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,2009,3201.161565,3262.85087,3084.80697
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2009,1.042603646,1.104231726,0.997634237
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2009,2.559135469,2.637830632,2.432224652
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2009,0.416222533,0.511000851,0.271395628
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,294,All causes,3,Rate,2009,8810.322715,9102.988323,8532.841018
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2009,2055.612334,2172.932643,1906.677336
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,2009,2970.026762,3113.574293,2800.962406
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,2009,468.1569634,817.5755906,306.8759891
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2009,1.903815292,2.041309852,1.757639002
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,2009,480.5188002,510.3517972,449.5713965
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2009,1.101247219,1.354604918,0.862743009
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,717,Self-harm and interpersonal violence,3,Rate,2009,351.385208,372.651612,329.7255688
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2009,181.8565426,191.5418167,172.8629875
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,2009,439.9246969,480.3131921,397.4814802
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,2009,22.97306924,34.29593968,12.85238734
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,2009,240.3227651,257.712118,224.6693482
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2009,197.6003693,215.6923952,178.5803384
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2009,118.4528453,126.0308924,109.3277148
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,2009,50.76764356,60.19809981,30.1013689
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,2009,437.567197,529.2431495,396.7325205
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,2009,586.7277037,600.4473965,565.8130271
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,2009,464.3916715,802.0641469,306.7105469
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2009,1.06865825,1.156491,0.988627003
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2010,2.473446774,2.548052158,2.353534888
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,2010,577.1519486,591.4403789,555.7470514
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,2010,474.6361483,814.8684469,317.0558151
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2010,0.453466742,0.561790726,0.124367233
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,717,Self-harm and interpersonal violence,3,Rate,2010,361.6106693,368.8720853,356.3088058
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,2010,559.1618501,582.2365999,484.5867361
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,2010,25.01764844,35.71155095,13.72943755
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,2010,221.5686749,227.2322811,217.4208995
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2010,234.6326723,240.2663441,225.9428443
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,294,All causes,3,Rate,2010,8755.754328,8882.24874,8626.008021
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,2010,3140.412134,3203.889644,3023.957017
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2010,1.000736915,1.058437158,0.959956274
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,2010,41.32398148,57.15768861,30.23082162
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,2010,440.4481933,528.6181477,409.392172
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2010,0.284270352,0.353892683,0.098870518
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,2010,1994.096618,2070.434001,1863.11747
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,2010,33.50436204,50.76152517,23.25527771
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,2010,347.8236198,365.2606339,318.4937392
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,2010,16.05916775,17.16655733,14.52083357
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,2010,47.44863499,52.20197671,40.43781444
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,2010,349.9464027,382.319515,297.7934196
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,2010,470.3530109,494.3013256,425.8226218
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,2010,23.11665996,34.80930719,12.88216085
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,2010,209.5052315,217.139993,203.2041298
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,2010,211.6050493,219.5221211,204.1858581
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,974,Diabetes and kidney diseases,3,Rate,2010,126.5842259,131.8153262,118.2255576
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2010,1.933250881,2.010489148,1.830509673
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,2010,501.5306542,518.2892216,480.1366737
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2010,199.4123173,206.2328804,191.0673976
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,717,Self-harm and interpersonal violence,3,Rate,2010,342.5474194,352.9229428,333.9994361
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,294,All causes,3,Rate,2010,9745.07796,9789.959093,9700.433497
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,2010,2934.449317,3016.944332,2803.690127
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,2010,462.739952,807.8518631,305.9272668
4,YLLs (Years of Life Lost),4625,South East England,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2010,1.041988676,1.128762482,0.964700013
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,2010,0.409101837,0.502432397,0.262383025
4,YLLs (Years of Life Lost),4749,England,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,2009,478.3768237,822.0329625,321.2790254
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,2010,1.86385802,1.996301639,1.724236537
4,YLLs (Years of Life Lost),44766,West Sussex,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,2010,178.1049817,188.4204142,168.0107719
