measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South East England,Male,Age-standardized,All causes,Rate,2009,531.0435783,540.4395971,520.6996373
Deaths,South East England,Female,Age-standardized,All causes,Rate,2009,369.2649186,376.8905586,361.6279778
Deaths,South East England,Both,Age-standardized,All causes,Rate,2009,440.4467837,446.5812903,434.2218331
Deaths,South East England,Male,All ages,All causes,Number,2009,35458.90874,36084.89443,34755.48376
Deaths,South East England,Female,All ages,All causes,Number,2009,38471.12177,39221.61491,37723.93294
Deaths,South East England,Both,All ages,All causes,Number,2009,73930.03052,74916.50823,72914.0717
Deaths,South East England,Male,All ages,All causes,Rate,2009,838.918166,853.728288,822.2759167
Deaths,South East England,Female,All ages,All causes,Rate,2009,878.1367345,895.2673916,861.081501
Deaths,South East England,Both,All ages,All causes,Rate,2009,858.8788522,870.3392133,847.0759956
Deaths,South East England,Male,All ages,Neglected tropical diseases and malaria,Number,2009,0.295285098,0.435690614,0.150637768
Deaths,South East England,Female,All ages,Neglected tropical diseases and malaria,Number,2009,0.241626235,0.348977132,0.167382729
Deaths,South East England,Both,All ages,Neglected tropical diseases and malaria,Number,2009,0.536911333,0.740393501,0.378880561
Deaths,South East England,Male,All ages,Neglected tropical diseases and malaria,Rate,2009,0.006986116,0.010307953,0.003563921
Deaths,South East England,Female,All ages,Neglected tropical diseases and malaria,Rate,2009,0.005515328,0.007965706,0.003820656
Deaths,South East England,Both,All ages,Neglected tropical diseases and malaria,Rate,2009,0.006237544,0.008601489,0.004401628
Deaths,South East England,Male,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.006166729,0.007750902,0.002575085
Deaths,South East England,Female,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.004612267,0.005617563,0.002421318
Deaths,South East England,Both,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.005309448,0.006274117,0.002913471
Deaths,South East England,Male,All ages,Cardiovascular diseases,Number,2009,11376.79367,11915.36065,10539.61086
Deaths,South East England,Female,All ages,Cardiovascular diseases,Number,2009,12639.36623,13655.55744,10796.97632
